Station Name,ZIP,Latitude,Longitude
University of California Irvine,92612,33.663511,-117.856388
Shell - Torrance,90501,33.858356,-118.31461
Los Angeles International Airport,90045,33.941383,-118.377866
SunHydro - Wallingford,6492,41.490507,-72.760932
Messer - Emeryville,94608,37.83426758,-122.2815812
Air Liquide - Palo Alto,94306,37.418914,-122.133104
Air Liquide - Anaheim,92806,33.855862,-117.837744
Air Products and Chemicals Inc - Los Angeles,90036,34.076363,-118.358673
California State University Los Angeles - Hydrogen Research & Fueling Facility,90032,34.0621924,-118.1736142
FirstElement - Campbell,95008,37.271941,-121.954643
FirstElement - Coalinga,93210,36.25298,-120.239432
FirstElement - Costa Mesa,92627,33.648692,-117.918614
FirstElement - Hayward,94541,37.666686,-122.106352
FirstElement - La Canada Flintridge,91011,34.200017,-118.191164
FirstElement - Fremont,94538,37.52217,-121.968501
FirstElement - Lake Forest,92630,33.661543,-117.668467
FirstElement - Long Beach,90807,33.819222,-118.189733
FirstElement - Hollywood Blvd,90028,34.101336,-118.314034
FirstElement - Lincoln Blvd,90045,33.963119,-118.421458
FirstElement - Mill Valley,94941,37.888823,-122.5179817
FirstElement - Thousand Oaks,91362,34.168683,-118.835986
FirstElement - Del Mar,92130,32.933578,-117.240016
FirstElement - San Jose,95131,37.37326,-121.918838
FirstElement - Santa Barbara,93105,34.438155,-119.751005
FirstElement - Saratoga,95070,37.284189,-121.999331
FirstElement - South Pasadena,91030,34.111868,-118.149849
FirstElement - South San Francisco,94080,37.647933,-122.406006
FirstElement - Truckee,96161,39.324902,-120.223537
Air Products and Chemicals Inc - Lawndale,90260,33.889394,-118.360962
Iwatani - San Ramon,94583,37.771711,-121.971556
Iwatani - Mountain View,94043,37.405137,-122.067089
Iwatani - San Juan Capistrano,92675,33.519722,-117.66697
Air Products and Chemicals Inc - Santa Monica,90404,34.025325,-118.469612
Air Products and Chemicals Inc - Woodland Hills,91364,34.166383,-118.605407
Ramos Oil Co - Iwatani - Shell,95691,38.569427,-121.521377
SERVCO,96819,21.343935,-157.897062
Shell - Hydrogen Technology and Energy Corp,V5G 1J9,49.255034,-123.003831
Shell - San Francisco 3rd St,94107,37.780625,-122.394922
Shell - San Francisco Mission St,94110,37.740188,-122.423654
Shell - San Francisco Harrison St,94103,37.773345,-122.408478
True Zero - FirstElement - Oakland,94610,37.809238,-122.255662
Shell - Sacramento,95864,38.573852,-121.382464
Shell - Citrus Heights,95621,38.679592,-121.320589
Shell - Hydrogen Technology and Energy Corp,V6P 5A1,49.207367,-123.140155
ESSO Harnois Groupe Pétrolier - Hydrogenics,G2E 2G8,46.802791,-71.331115
South Coast Air Quality Management District - Diamond Bar,91765,34.001326,-117.830482